id;start_date;end_date;language
1;2021-04-17T13:48:33;2021-04-17T11:38:48;ENGLISH
2;2021-04-16T23:16:08;2021-04-17T08:41:37;FRENCH
3;2021-04-17T09:12:20;2021-04-16T21:17:28;SPANISH
4;2021-04-17T13:43:09;2021-04-16T19:09:28;FRENCH
5;2021-04-17T15:59:32;2021-04-17T00:18:30;ENGLISH
6;2021-04-17T01:30:15;2021-04-17T15:30:35;SPANISH
7;2021-04-17T09:34:03;2021-04-16T20:08:12;FRENCH
8;2021-04-16T23:59:56;2021-04-16T20:35:45;FRENCH
9;2021-04-17T00:51:34;2021-04-17T12:23:00;FRENCH
10;2021-04-16T20:48:32;2021-04-17T13:46:01;FRENCH
